name	aeroway	@lat	@lon
	helipad	51.4102989	7.3994729
CHU Jean Minjoz Heliport	helipad	47.2255473	5.9644892
	helipad	45.9389174	6.8958065
	helipad	49.6293692	8.6234890
	helipad	50.8084391	6.4968242
Hubschrauberlandeplätze Hockenheimring	helipad	49.3292886	8.5809334
Centre hospitalier de Pau	helipad	43.3280219	-0.3507085
	helipad	46.8134918	-2.1283410
	helipad	46.9590470	6.8667223
	helipad	47.2006128	-1.5773289
Sécurité civile Lorient Heliport	helipad	47.7743457	-3.4244452
HMS Raleigh Helipad	helipad	50.3716520	-4.2231800
	helipad	46.6346764	0.1981391
	helipad	46.4447476	0.6572868
	helipad	48.5933540	7.7048786
	helipad	49.0668204	2.0964108
Aeroporto di Venaria Reale	heliport	45.1315816	7.6107891
	helipad	48.7712469	8.0775083
	helipad	42.3586480	-3.6911360
CH Rodez Heliport	helipad	44.3589800	2.5519421
	helipad	48.8032546	8.9991262
Lachen Spital	helipad	47.1886679	8.8587336
	helipad	49.5244114	0.1847991
	helipad	49.5349315	0.0964551
	helipad	47.3898942	8.0576442
	helipad	45.7569712	3.0918573
POURTALES	helipad	46.9965689	6.9422364
	helipad	47.0326505	6.9062851
	helipad	47.1132037	6.8315709
	helipad	46.9256539	6.6298401
	helipad	42.4406335	0.0754957
	helipad	49.4105332	8.7731266
BEC Barakaldo	helipad	43.2853641	-2.9926331
	helipad	46.3144496	4.8122975
	helipad	50.8285149	7.6168252
Hélistation La Roberte	helipad	43.6227275	7.0284410
	helipad	42.3380086	-3.7196247
	helipad	44.6792858	8.4502490
"Elisuperficie A7 ""Ugo Vignolo"""	helipad	44.6026891	8.9494469
	helipad	51.3900041	7.2170459
